Gene	Tissue	Gene name	Cluster	Cell type	Read count	pTPM
9606.ENSP00000003084	intestine	CFTR	c-5	distal enterocytes	995778.0	96.4
9606.ENSP00000003084	intestine	CFTR	c-9	distal enterocytes	3572261.0	68.0
9606.ENSP00000003084	intestine	CFTR	c-4	intestinal goblet cells	8061340.0	52.7
9606.ENSP00000003084	intestine	CFTR	c-3	undifferentiated cells	13088246.0	34.8
9606.ENSP00000003084	intestine	CFTR	c-2	paneth cells	5929594.0	33.6
9606.ENSP00000003084	intestine	CFTR	c-4	proximal enterocytes	6120888.0	13.9
9606.ENSP00000003084	intestine	CFTR	c-14	enteroendocrine cells	157206.0	12.7
9606.ENSP00000003084	intestine	CFTR	c-9	intestinal goblet cells	2031351.0	10.3
9606.ENSP00000003084	intestine	CFTR	c-11	enteroendocrine cells	348970.0	8.6
9606.ENSP00000003084	intestine	CFTR	c-12	b-cells	370114.0	8.1
9606.ENSP00000003084	intestine	CFTR	c-3	t-cells	1281402.0	4.7
9606.ENSP00000003084	intestine	CFTR	c-11	paneth cells	342270.0	2.9
9606.ENSP00000003084	intestine	CFTR	c-1	intestinal goblet cells	1438754.0	1.4
9606.ENSP00000004531	urogenital system					
9606.ENSP00000005226	brain	USH1C	c-12	oligodendrocytes	8026745.0	59.1
9606.ENSP00000005226	brain	USH1C	c-35	astrocytes	1538564.0	36.4
9606.ENSP00000005226	brain	USH1C	c-20	excitatory neurons	33072787.0	4.0
9606.ENSP00000005226	brain	USH1C	c-23	inhibitory neurons	14893701.0	0.9
9606.ENSP00000005226	brain	USH1C	c-42	oligodendrocyte precursor cells	1265946.0	0.8
9606.ENSP00000005226	eye	USH1C	c-6	muller glia cells	4230094.0	262.2
9606.ENSP00000005226	eye	USH1C	c-0	rod photoreceptor cells	2040116.0	16.7
9606.ENSP00000005226	eye	USH1C	c-11	cone photoreceptor cells	181322.0	5.5
9606.ENSP00000005226	eye	USH1C	c-12	horizontal cells	223503.0	4.5
9606.ENSP00000005226	eye	USH1C	c-13	endothelial cells	747331.0	4.0
9606.ENSP00000005226	eye	USH1C	c-9	bipolar cells	1134365.0	2.6
9606.ENSP00000005226	liver	USH1C	c-14	cholangiocytes	598450.0	61.8
9606.ENSP00000005226	lung	USH1C	c-5	fibroblasts	738761.0	2.7
9606.ENSP00000005226	lung	USH1C	c-1	respiratory ciliated cells	8320942.0	2.4
9606.ENSP00000005226	lung	USH1C	c-7	club cells	594656.0	1.7
9606.ENSP00000005226	lung	USH1C	c-5	club cells	5520866.0	0.2
9606.ENSP00000005226	lung	USH1C	c-4	basal respiratory cells	4103517.0	0.2
9606.ENSP00000005257	brain	RALA	c-43	microglial cells	390440.0	120.4
9606.ENSP00000005257	brain	RALA	c-41	inhibitory neurons	3515201.0	94.4
9606.ENSP00000005257	brain	RALA	c-36	excitatory neurons	11162764.0	84.6
9606.ENSP00000005257	brain	RALA	c-42	oligodendrocyte precursor cells	1265946.0	61.6
9606.ENSP00000005257	brain	RALA	c-37	oligodendrocytes	2228281.0	58.3
9606.ENSP00000005257	brain	RALA	c-35	astrocytes	1538564.0	50.7
9606.ENSP00000005260	gastrointestinal tract					
9606.ENSP00000005284	brain	CACNG3	c-21	inhibitory neurons	20255965.0	358.5
9606.ENSP00000005284	brain	CACNG3	c-1	excitatory neurons	89318658.0	325.6
9606.ENSP00000005284	brain	CACNG3	c-43	microglial cells	390440.0	15.4
9606.ENSP00000005284	brain	CACNG3	c-42	oligodendrocyte precursor cells	1265946.0	9.5
9606.ENSP00000005284	brain	CACNG3	c-35	astrocytes	1538564.0	5.8
9606.ENSP00000005284	brain	CACNG3	c-12	oligodendrocytes	8026745.0	4.5
9606.ENSP00000005587	brain	SKAP2	c-43	microglial cells	390440.0	325.3
9606.ENSP00000005587	brain	SKAP2	c-39	excitatory neurons	7483738.0	179.1
9606.ENSP00000005587	brain	SKAP2	c-38	inhibitory neurons	6521624.0	90.5
9606.ENSP00000005587	brain	SKAP2	c-12	oligodendrocytes	8026745.0	22.5
9606.ENSP00000005587	brain	SKAP2	c-35	astrocytes	1538564.0	18.8
9606.ENSP00000005587	brain	SKAP2	c-42	oligodendrocyte precursor cells	1265946.0	4.7
9606.ENSP00000005587	gastrointestinal tract					
9606.ENSP00000005587	intestine	SKAP2	c-12	b-cells	370114.0	221.6
9606.ENSP00000005587	intestine	SKAP2	c-14	enteroendocrine cells	157206.0	89.1
9606.ENSP00000005587	intestine	SKAP2	c-5	distal enterocytes	995778.0	82.3
9606.ENSP00000005587	intestine	SKAP2	c-15	granulocytes	49461.0	80.9
9606.ENSP00000005587	intestine	SKAP2	c-13	undifferentiated cells	175867.0	79.6
9606.ENSP00000005587	intestine	SKAP2	c-10	intestinal goblet cells	1688187.0	72.9
9606.ENSP00000005587	intestine	SKAP2	c-10	intestinal goblet cells	482730.0	68.4
9606.ENSP00000005587	intestine	SKAP2	c-1	intestinal goblet cells	1438754.0	57.7
9606.ENSP00000005587	intestine	SKAP2	c-4	proximal enterocytes	6120888.0	55.1
9606.ENSP00000005587	intestine	SKAP2	c-3	t-cells	1281402.0	53.8
9606.ENSP00000005587	intestine	SKAP2	c-9	distal enterocytes	3572261.0	51.5
9606.ENSP00000005587	intestine	SKAP2	c-3	undifferentiated cells	5928643.0	48.9
9606.ENSP00000005587	intestine	SKAP2	c-8	undifferentiated cells	3910510.0	48.8
9606.ENSP00000005587	intestine	SKAP2	c-11	enteroendocrine cells	348970.0	43.0
9606.ENSP00000005587	intestine	SKAP2	c-2	paneth cells	5929594.0	42.3
9606.ENSP00000005587	intestine	SKAP2	c-11	paneth cells	329372.0	27.3
9606.ENSP00000005587	intestine	SKAP2	c-11	paneth cells	342270.0	23.4
9606.ENSP00000005587	lung	SKAP2	c-0	macrophages	1636431.0	238.9
9606.ENSP00000005587	lung	SKAP2	c-9	endothelial cells	192094.0	192.6
9606.ENSP00000005587	lung	SKAP2	c-4	granulocytes	326433.0	85.8
9606.ENSP00000005587	lung	SKAP2	c-3	t-cells	540980.0	72.1
9606.ENSP00000005587	lung	SKAP2	c-6	alveolar cells type 2	288663.0	58.9
9606.ENSP00000005587	lung	SKAP2	c-5	fibroblasts	738761.0	51.4
9606.ENSP00000005587	lung	SKAP2	c-15	ionocytes	378503.0	44.9
9606.ENSP00000005587	lung	SKAP2	c-10	respiratory ciliated cells	3091119.0	40.4
9606.ENSP00000005587	lung	SKAP2	c-10	alveolar cells type 1	181256.0	33.1
9606.ENSP00000005587	lung	SKAP2	c-12	basal respiratory cells	2187154.0	27.4
9606.ENSP00000005587	lung	SKAP2	c-8	respiratory ciliated cells	474551.0	23.2
9606.ENSP00000005587	lung	SKAP2	c-16	club cells	888104.0	22.5
9606.ENSP00000005587	lung	SKAP2	c-13	smooth muscle cells	1075720.0	18.6
9606.ENSP00000005587	lung	SKAP2	c-7	club cells	594656.0	13.5
9606.ENSP00000005587	spleen	SKAP2	c-5	macrophages	955802.0	196.7
9606.ENSP00000005587	spleen	SKAP2	c-0	b-cells	2862754.0	130.3
9606.ENSP00000005587	spleen	SKAP2	c-6	t-cells	590098.0	127.1
9606.ENSP00000005587	spleen	SKAP2	c-3	plasma cells	5492639.0	27.3
9606.ENSP00000005587	urogenital system					
9606.ENSP00000006053	brain	CX3CL1	c-20	excitatory neurons	33072787.0	68.8
9606.ENSP00000006053	brain	CX3CL1	c-43	microglial cells	390440.0	46.1
9606.ENSP00000006053	brain	CX3CL1	c-41	inhibitory neurons	3515201.0	41.0
9606.ENSP00000006053	brain	CX3CL1	c-42	oligodendrocyte precursor cells	1265946.0	20.5
9606.ENSP00000006053	brain	CX3CL1	c-35	astrocytes	1538564.0	6.5
9606.ENSP00000006053	brain	CX3CL1	c-12	oligodendrocytes	8026745.0	4.7
9606.ENSP00000006724	gastrointestinal tract					
9606.ENSP00000006724	intestine	CEACAM7	c-4	distal enterocytes	881948.0	2272.2
9606.ENSP00000006724	intestine	CEACAM7	c-5	distal enterocytes	3367989.0	1874.1
9606.ENSP00000006724	intestine	CEACAM7	c-11	paneth cells	342270.0	1802.7
9606.ENSP00000006724	intestine	CEACAM7	c-8	undifferentiated cells	927497.0	230.7
9606.ENSP00000006724	intestine	CEACAM7	c-2	paneth cells	5929594.0	129.7
9606.ENSP00000006724	intestine	CEACAM7	c-12	b-cells	370114.0	37.8
9606.ENSP00000006724	intestine	CEACAM7	c-3	undifferentiated cells	5928643.0	33.2
9606.ENSP00000006724	intestine	CEACAM7	c-3	t-cells	1281402.0	32.0
9606.ENSP00000006724	intestine	CEACAM7	c-1	intestinal goblet cells	1438754.0	28.5
9606.ENSP00000006724	intestine	CEACAM7	c-10	intestinal goblet cells	1688187.0	27.2
9606.ENSP00000006724	intestine	CEACAM7	c-14	enteroendocrine cells	157206.0	12.7
9606.ENSP00000006724	intestine	CEACAM7	c-11	enteroendocrine cells	348970.0	11.5
9606.ENSP00000007722	brain	ITGA3	c-25	inhibitory neurons	11671127.0	55.9
9606.ENSP00000007722	brain	ITGA3	c-39	excitatory neurons	7483738.0	43.4
9606.ENSP00000007722	brain	ITGA3	c-43	microglial cells	390440.0	23.1
9606.ENSP00000007722	brain	ITGA3	c-35	astrocytes	1538564.0	7.1
9606.ENSP00000007722	brain	ITGA3	c-42	oligodendrocyte precursor cells	1265946.0	4.7
9606.ENSP00000007722	brain	ITGA3	c-37	oligodendrocytes	2228281.0	1.8
9606.ENSP00000007722	kidney	ITGA3	c-12	collecting duct cells	369870.0	113.6
9606.ENSP00000007722	kidney	ITGA3	c-5	proximal tubular cells	3408183.0	16.7
9606.ENSP00000007722	kidney	ITGA3	c-13	b-cells	240783.0	8.3
9606.ENSP00000007722	kidney	ITGA3	c-7	t-cells	1734364.0	1.2
9606.ENSP00000007722	kidney	ITGA3	c-9	macrophages	1789589.0	1.1
9606.ENSP00000007722	lung	ITGA3	c-12	basal respiratory cells	2187154.0	148.1
9606.ENSP00000007722	lung	ITGA3	c-10	alveolar cells type 1	181256.0	93.8
9606.ENSP00000007722	lung	ITGA3	c-6	alveolar cells type 2	288663.0	52.0
9606.ENSP00000007722	lung	ITGA3	c-10	respiratory ciliated cells	3091119.0	50.5
9606.ENSP00000007722	lung	ITGA3	c-7	club cells	594656.0	40.4
9606.ENSP00000007722	lung	ITGA3	c-5	fibroblasts	738761.0	31.1
9606.ENSP00000007722	lung	ITGA3	c-5	club cells	5520866.0	24.6
9606.ENSP00000007722	lung	ITGA3	c-2	macrophages	757374.0	21.1
9606.ENSP00000007722	lung	ITGA3	c-15	ionocytes	378503.0	21.1
9606.ENSP00000007722	lung	ITGA3	c-3	t-cells	540980.0	11.1
9606.ENSP00000007722	lung	ITGA3	c-14	smooth muscle cells	862691.0	10.4
9606.ENSP00000007722	lung	ITGA3	c-4	granulocytes	326433.0	9.2
9606.ENSP00000007722	lung	ITGA3	c-8	respiratory ciliated cells	474551.0	6.3
9606.ENSP00000007722	lung	ITGA3	c-9	endothelial cells	192094.0	5.2
9606.ENSP00000007722	urogenital system					
9606.ENSP00000009530	blood					
9606.ENSP00000009530	brain	CD74	c-43	microglial cells	390440.0	376.5
9606.ENSP00000009530	brain	CD74	c-18	excitatory neurons	34993952.0	4.7
9606.ENSP00000009530	brain	CD74	c-37	oligodendrocytes	2228281.0	2.7
9606.ENSP00000009530	brain	CD74	c-30	inhibitory neurons	15212132.0	1.6
9606.ENSP00000009530	brain	CD74	c-35	astrocytes	1538564.0	1.3
9606.ENSP00000009530	brain	CD74	c-42	oligodendrocyte precursor cells	1265946.0	0.8
9606.ENSP00000009530	eye	CD74	c-13	endothelial cells	747331.0	3582.1
9606.ENSP00000009530	eye	CD74	c-6	muller glia cells	4230094.0	34.0
9606.ENSP00000009530	eye	CD74	c-0	rod photoreceptor cells	2040116.0	30.9
9606.ENSP00000009530	eye	CD74	c-5	bipolar cells	1659667.0	8.4
9606.ENSP00000009530	eye	CD74	c-12	horizontal cells	223503.0	4.5
9606.ENSP00000009530	gastrointestinal tract					
9606.ENSP00000009530	gastrointestinal tract					
9606.ENSP00000009530	heart	CD74	c-6	mixed immune cells	9544156.0	2908.5
9606.ENSP00000009530	heart	CD74	c-5	endothelial cells	21521186.0	2273.3
9606.ENSP00000009530	heart	CD74	c-7	smooth muscle cells	17106114.0	200.0
9606.ENSP00000009530	heart	CD74	c-9	fibroblasts	17544967.0	112.7
9606.ENSP00000009530	heart	CD74	c-8	cardiomyocytes	9586739.0	104.6
9606.ENSP00000009530	intestine	CD74	c-5	proximal enterocytes	3033676.0	4807.4
9606.ENSP00000009530	intestine	CD74	c-12	b-cells	370114.0	2966.7
9606.ENSP00000009530	intestine	CD74	c-8	undifferentiated cells	927497.0	1464.2
9606.ENSP00000009530	intestine	CD74	c-6	distal enterocytes	856747.0	1066.8
9606.ENSP00000009530	intestine	CD74	c-11	paneth cells	329372.0	971.5
9606.ENSP00000009530	intestine	CD74	c-3	undifferentiated cells	13088246.0	690.4
9606.ENSP00000009530	intestine	CD74	c-10	intestinal goblet cells	482730.0	646.3
9606.ENSP00000009530	intestine	CD74	c-3	t-cells	1281402.0	619.6
9606.ENSP00000009530	intestine	CD74	c-1	intestinal goblet cells	1438754.0	576.9
9606.ENSP00000009530	intestine	CD74	c-14	enteroendocrine cells	157206.0	496.2
9606.ENSP00000009530	intestine	CD74	c-15	granulocytes	49461.0	444.8
9606.ENSP00000009530	intestine	CD74	c-11	enteroendocrine cells	348970.0	246.4
9606.ENSP00000009530	intestine	CD74	c-8	undifferentiated cells	2860965.0	138.1
9606.ENSP00000009530	intestine	CD74	c-2	paneth cells	5929594.0	116.9
9606.ENSP00000009530	intestine	CD74	c-1	intestinal goblet cells	3656338.0	116.8
9606.ENSP00000009530	intestine	CD74	c-11	paneth cells	342270.0	102.3
9606.ENSP00000009530	intestine	CD74	c-5	distal enterocytes	3367989.0	65.9
9606.ENSP00000009530	intestine	CD74	c-5	proximal enterocytes	3033676.0	4807.4
9606.ENSP00000009530	intestine	CD74	c-12	b-cells	370114.0	2966.7
9606.ENSP00000009530	intestine	CD74	c-8	undifferentiated cells	927497.0	1464.2
9606.ENSP00000009530	intestine	CD74	c-6	distal enterocytes	856747.0	1066.8
9606.ENSP00000009530	intestine	CD74	c-11	paneth cells	329372.0	971.5
9606.ENSP00000009530	intestine	CD74	c-3	undifferentiated cells	13088246.0	690.4
9606.ENSP00000009530	intestine	CD74	c-10	intestinal goblet cells	482730.0	646.3
9606.ENSP00000009530	intestine	CD74	c-3	t-cells	1281402.0	619.6
9606.ENSP00000009530	intestine	CD74	c-1	intestinal goblet cells	1438754.0	576.9
9606.ENSP00000009530	intestine	CD74	c-14	enteroendocrine cells	157206.0	496.2
9606.ENSP00000009530	intestine	CD74	c-15	granulocytes	49461.0	444.8
9606.ENSP00000009530	intestine	CD74	c-11	enteroendocrine cells	348970.0	246.4
9606.ENSP00000009530	intestine	CD74	c-8	undifferentiated cells	2860965.0	138.1
9606.ENSP00000009530	intestine	CD74	c-2	paneth cells	5929594.0	116.9
9606.ENSP00000009530	intestine	CD74	c-1	intestinal goblet cells	3656338.0	116.8
9606.ENSP00000009530	intestine	CD74	c-11	paneth cells	342270.0	102.3
9606.ENSP00000009530	intestine	CD74	c-5	distal enterocytes	3367989.0	65.9
9606.ENSP00000009530	liver	CD74	c-3	kupffer cells	3560013.0	4920.8
9606.ENSP00000009530	liver	CD74	c-13	b-cells	339171.0	4847.1
9606.ENSP00000009530	liver	CD74	c-12	endothelial cells	983671.0	619.1
9606.ENSP00000009530	liver	CD74	c-4	hepatic stellate cells	2530769.0	569.8
9606.ENSP00000009530	liver	CD74	c-14	cholangiocytes	598450.0	469.5
9606.ENSP00000009530	liver	CD74	c-15	t-cells	707627.0	460.7
9606.ENSP00000009530	liver	CD74	c-11	hepatocytes	3556393.0	43.9
9606.ENSP00000009530	liver	CD74	c-16	erythroid cells	636896.0	31.4
9606.ENSP00000009530	lung	CD74	c-2	macrophages	757374.0	8322.2
9606.ENSP00000009530	lung	CD74	c-16	club cells	888104.0	4237.1
9606.ENSP00000009530	lung	CD74	c-6	alveolar cells type 2	288663.0	3187.1
9606.ENSP00000009530	lung	CD74	c-3	t-cells	540980.0	2584.2
9606.ENSP00000009530	lung	CD74	c-10	respiratory ciliated cells	3091119.0	1825.9
9606.ENSP00000009530	lung	CD74	c-9	endothelial cells	192094.0	1311.9
9606.ENSP00000009530	lung	CD74	c-4	basal respiratory cells	4103517.0	1025.9
9606.ENSP00000009530	lung	CD74	c-7	club cells	594656.0	1010.7
9606.ENSP00000009530	lung	CD74	c-8	respiratory ciliated cells	474551.0	931.4
9606.ENSP00000009530	lung	CD74	c-4	granulocytes	326433.0	775.0
9606.ENSP00000009530	lung	CD74	c-10	alveolar cells type 1	181256.0	722.7
9606.ENSP00000009530	lung	CD74	c-5	fibroblasts	738761.0	630.8
9606.ENSP00000009530	lung	CD74	c-15	ionocytes	378503.0	507.3
9606.ENSP00000009530	lung	CD74	c-14	smooth muscle cells	862691.0	427.7
9606.ENSP00000009530	lung	CD74	c-2	macrophages	757374.0	8322.2
9606.ENSP00000009530	lung	CD74	c-16	club cells	888104.0	4237.1
9606.ENSP00000009530	lung	CD74	c-6	alveolar cells type 2	288663.0	3187.1
9606.ENSP00000009530	lung	CD74	c-3	t-cells	540980.0	2584.2
9606.ENSP00000009530	lung	CD74	c-10	respiratory ciliated cells	3091119.0	1825.9
9606.ENSP00000009530	lung	CD74	c-9	endothelial cells	192094.0	1311.9
9606.ENSP00000009530	lung	CD74	c-4	basal respiratory cells	4103517.0	1025.9
9606.ENSP00000009530	lung	CD74	c-7	club cells	594656.0	1010.7
9606.ENSP00000009530	lung	CD74	c-8	respiratory ciliated cells	474551.0	931.4
9606.ENSP00000009530	lung	CD74	c-4	granulocytes	326433.0	775.0
9606.ENSP00000009530	lung	CD74	c-10	alveolar cells type 1	181256.0	722.7
9606.ENSP00000009530	lung	CD74	c-5	fibroblasts	738761.0	630.8
9606.ENSP00000009530	lung	CD74	c-15	ionocytes	378503.0	507.3
9606.ENSP00000009530	lung	CD74	c-14	smooth muscle cells	862691.0	427.7
9606.ENSP00000009530	lung	CD74	c-2	macrophages	757374.0	8322.2
9606.ENSP00000009530	lung	CD74	c-16	club cells	888104.0	4237.1
9606.ENSP00000009530	lung	CD74	c-6	alveolar cells type 2	288663.0	3187.1
9606.ENSP00000009530	lung	CD74	c-3	t-cells	540980.0	2584.2
9606.ENSP00000009530	lung	CD74	c-10	respiratory ciliated cells	3091119.0	1825.9
9606.ENSP00000009530	lung	CD74	c-9	endothelial cells	192094.0	1311.9
9606.ENSP00000009530	lung	CD74	c-4	basal respiratory cells	4103517.0	1025.9
9606.ENSP00000009530	lung	CD74	c-7	club cells	594656.0	1010.7
9606.ENSP00000009530	lung	CD74	c-8	respiratory ciliated cells	474551.0	931.4
9606.ENSP00000009530	lung	CD74	c-4	granulocytes	326433.0	775.0
9606.ENSP00000009530	lung	CD74	c-10	alveolar cells type 1	181256.0	722.7
9606.ENSP00000009530	lung	CD74	c-5	fibroblasts	738761.0	630.8
9606.ENSP00000009530	lung	CD74	c-15	ionocytes	378503.0	507.3
9606.ENSP00000009530	lung	CD74	c-14	smooth muscle cells	862691.0	427.7
9606.ENSP00000009530	lymph node	CD74	c-0	b-cells	2974179.0	17012.8
9606.ENSP00000009530	lymph node	CD74	c-3	t-cells	2315085.0	1000.0
9606.ENSP00000009530	placenta	CD74	c-9	hofbauer cells	14611761.0	7404.7
9606.ENSP00000009530	placenta	CD74	c-17	endothelial cells	1521168.0	1389.7
9606.ENSP00000009530	placenta	CD74	c-18	fibroblasts	2005662.0	299.7
9606.ENSP00000009530	placenta	CD74	c-5	cytotrophoblasts	8066555.0	50.1
9606.ENSP00000009530	placenta	CD74	c-6	extravillous trophoblasts	42924496.0	39.4
9606.ENSP00000009530	placenta	CD74	c-10	syncytiotrophoblasts	12568358.0	30.4
9606.ENSP00000009530	spleen	CD74	c-0	b-cells	2862754.0	15820.8
9606.ENSP00000009530	spleen	CD74	c-5	macrophages	955802.0	6270.1
9606.ENSP00000009530	spleen	CD74	c-2	t-cells	1548890.0	2567.6
9606.ENSP00000009530	spleen	CD74	c-3	plasma cells	5492639.0	1070.0
9606.ENSP00000009530	spleen	CD74	c-0	b-cells	2862754.0	15820.8
9606.ENSP00000009530	spleen	CD74	c-5	macrophages	955802.0	6270.1
9606.ENSP00000009530	spleen	CD74	c-2	t-cells	1548890.0	2567.6
9606.ENSP00000009530	spleen	CD74	c-3	plasma cells	5492639.0	1070.0
9606.ENSP00000009530	spleen	CD74	c-0	b-cells	2862754.0	15820.8
9606.ENSP00000009530	spleen	CD74	c-5	macrophages	955802.0	6270.1
9606.ENSP00000009530	spleen	CD74	c-2	t-cells	1548890.0	2567.6
9606.ENSP00000009530	spleen	CD74	c-3	plasma cells	5492639.0	1070.0
9606.ENSP00000009530	urogenital system					
9606.ENSP00000011473	brain	SYPL1	c-12	oligodendrocytes	8026745.0	103.8
9606.ENSP00000011473	brain	SYPL1	c-35	astrocytes	1538564.0	53.9
9606.ENSP00000011473	brain	SYPL1	c-43	microglial cells	390440.0	46.1
9606.ENSP00000011473	brain	SYPL1	c-44	excitatory neurons	1529825.0	21.6
9606.ENSP00000011473	brain	SYPL1	c-14	inhibitory neurons	23790383.0	14.9
9606.ENSP00000011473	brain	SYPL1	c-42	oligodendrocyte precursor cells	1265946.0	13.4
9606.ENSP00000011473	gastrointestinal tract					
9606.ENSP00000011473	kidney	SYPL1	c-13	b-cells	240783.0	299.0
9606.ENSP00000011473	kidney	SYPL1	c-12	collecting duct cells	369870.0	275.8
9606.ENSP00000011473	kidney	SYPL1	c-8	proximal tubular cells	1883274.0	207.6
9606.ENSP00000011473	kidney	SYPL1	c-11	distal tubular cells	549908.0	105.5
9606.ENSP00000011473	kidney	SYPL1	c-9	macrophages	1789589.0	67.6
9606.ENSP00000011473	kidney	SYPL1	c-7	t-cells	1734364.0	60.5
9606.ENSP00000011473	urogenital system					
9606.ENSP00000011619	brain	RANBP9	c-27	excitatory neurons	24326902.0	222.7
9606.ENSP00000011619	brain	RANBP9	c-43	microglial cells	390440.0	199.8
9606.ENSP00000011619	brain	RANBP9	c-21	inhibitory neurons	20255965.0	149.4
9606.ENSP00000011619	brain	RANBP9	c-42	oligodendrocyte precursor cells	1265946.0	117.7
9606.ENSP00000011619	brain	RANBP9	c-35	astrocytes	1538564.0	115.7
9606.ENSP00000011619	brain	RANBP9	c-37	oligodendrocytes	2228281.0	107.7
9606.ENSP00000011619	lung	RANBP9	c-9	endothelial cells	192094.0	72.9
9606.ENSP00000011619	lung	RANBP9	c-1	alveolar cells type 2	1202921.0	39.1
9606.ENSP00000011619	lung	RANBP9	c-10	alveolar cells type 1	181256.0	33.1
9606.ENSP00000011619	lung	RANBP9	c-7	club cells	594656.0	28.6
9606.ENSP00000011619	lung	RANBP9	c-1	respiratory ciliated cells	8320942.0	26.9
9606.ENSP00000011619	lung	RANBP9	c-4	granulocytes	326433.0	24.5
9606.ENSP00000011619	lung	RANBP9	c-0	macrophages	1636431.0	23.2
9606.ENSP00000011619	lung	RANBP9	c-8	respiratory ciliated cells	474551.0	23.2
9606.ENSP00000011619	lung	RANBP9	c-5	fibroblasts	738761.0	23.0
9606.ENSP00000011619	lung	RANBP9	c-16	club cells	888104.0	22.5
9606.ENSP00000011619	lung	RANBP9	c-13	smooth muscle cells	1075720.0	17.7
9606.ENSP00000011619	lung	RANBP9	c-3	t-cells	540980.0	16.6
9606.ENSP00000011619	lung	RANBP9	c-15	ionocytes	378503.0	15.9
9606.ENSP00000011619	lung	RANBP9	c-4	basal respiratory cells	4103517.0	14.1
9606.ENSP00000011619	urogenital system					
9606.ENSP00000011653	brain	CD4	c-43	microglial cells	390440.0	79.4
9606.ENSP00000011653	brain	CD4	c-35	astrocytes	1538564.0	3.2
9606.ENSP00000011653	brain	CD4	c-0	excitatory neurons	104109957.0	2.3
9606.ENSP00000011653	brain	CD4	c-8	inhibitory neurons	58348022.0	1.4
9606.ENSP00000011653	brain	CD4	c-42	oligodendrocyte precursor cells	1265946.0	0.8
9606.ENSP00000011653	brain	CD4	c-12	oligodendrocytes	8026745.0	0.4
9606.ENSP00000014914	gastrointestinal tract					
9606.ENSP00000014914	intestine	GPRC5A	c-6	distal enterocytes	856747.0	1125.2
9606.ENSP00000014914	intestine	GPRC5A	c-11	paneth cells	342270.0	882.3
9606.ENSP00000014914	intestine	GPRC5A	c-5	distal enterocytes	3367989.0	377.1
